company name,location,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,Company Website,HKTDC Events,Certificates,,Other Certificates,supplier_url,exhibitor_url,Company Background
Oro Time Ltd,Hong Kong,Manufacturer,"Designer Watch, Pilot Watch, Quartz Analogue Watch, Pendant Watch, Chronograph Watch, Skeleton Mechanical Watch, Mechanical Hands & Digital Watch, Jewelled-lever Automatic Watch, Diver Watch, Brandname Watch, Ladies Watch, Promotional Watch, 24 Hour Dial Mechanical Watch, Solar Watch, Moon Phase Mechanical Watch, Mens Watch","OBM, ODM, OEM watch manufacturing from digital, quartz analogue to mechanical watches.","OEM, ODM, OBM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2012 HKTDC Hong Kong Watch & Clock Fair 2011 HKTDC Hong Kong Gifts & Premium Fair 2011 HKTDC Hong Kong Watch & Clock Fair 2010 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/ORO-Time-Ltd/1X000B8V?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MHWV?fairCode=hkwatchfair&locale=en,
Overseas Honest Ltd,Hong Kong,"Exporter, Manufacturer","Mens Watch, Skeleton Mechanical Watch, Ladies Watch, Quartz Analogue Watch","FOR DAVID GUNER BRAND: We have over 400 styles for you to choose and the MOQ is 5 pcs per model per colors, it is easily for you to sell in your market, Hope to meet you soon....",,"DAVID GUNER,RMS",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2018,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Overseas-Honest-Ltd/1X0AHE0U?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NNZG?fairCode=hkwatchfair&locale=en,
Peacock Watch (Group) HK Limited,Hong Kong,"Retailer, Manufacturer","Promotional Watch, Watch Movement, Mens Watch, Diver Watch, 24 Hour Dial Mechanical Watch, Ladies Watch, Brandname Watch, Chronograph Watch","Mechanical watches, mechanical watch movements, and mechanical watch movement parts.","ODM, OBM, OEM","PEACOCK,POLARIS,ATOWAK,OLTO-8",www.peacockwatch.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Peacock-Watch-Group-HK-Limited/1S00ON3FO?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MXRU?fairCode=hkwatchfair&locale=en,
Perfect Products Company Limited,Hong Kong,Manufacturer,"Quartz Analogue Watch, Chronograph Watch, Mens Watch, Skeleton Mechanical Watch, Ladies Watch",Analogue quartz watches & automatic watches,"ODM, OEM",,www.perfect-products.com,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 BASELWORLD 2021 The World Watch and Jewellery Show, Basel, Switzerland HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 Show More",,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Perfect-Products-Company-Ltd/1X00IZY5?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJ6Z?fairCode=hkwatchfair&locale=en,
Renley Watch Manufacturing Co Ltd,Hong Kong,Manufacturer,"Sports Timer Watch, Mechanical Hands & Digital Watch, Ladies Watch, Jewelled-lever Automatic Watch, 24 Hour Dial Mechanical Watch, Chronograph Watch, Mens Watch, Digital Watch, Quartz Analogue Watch, Skeleton Mechanical Watch","Renley has provided ODM and OEM nature of watch manufacturing for many watch brand names throughout the world. Moreover Renley has wide and intensive network worldwide in wholesales and distribution of our own Swiss brands: Jean dEve, Buler, Sultan",,Temporis,www.renley.com/tc/,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 Hong Kong Watch and Clock Mission to UAE (Dubai) HKTDC Hong Kong Watch & Clock Fair 2021 BASELWORLD 2019 - The Watch and Jewellery Show HKTDC Hong Kong Watch & Clock Fair 2018 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Renley-Watch-Manufacturing-Co-Ltd/1X00J0BP?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MXC3?fairCode=hkwatchfair&locale=en,
Ronda Ltd,Hong Kong,Manufacturer,Watch Movement,Swiss watch movements,Others,RONDA,www.ronda.ch,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 Hong Kong Watch and Clock Mission to UAE (Dubai) HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/RONDA-LTD/1X00J0FL?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NINL?fairCode=hkwatchfair&locale=en,
Sun International Concepts Limited,Hong Kong,"Wholesaler, Retailer, Import Agent, Distributor","24 Hour Dial Mechanical Watch, Brandname Watch, Mens Watch, Skeleton Mechanical Watch",We will provide later,Others,"Zbioland珍寶萊,Fiyta 飛亞達,Moon Yang 沐阳時計 ,獨立製表人 AHCI -馬旭曙,獨立製表人 AHCI - 譚澤華,獨立製表人 AHCI - 林勇華,",,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 Hong Kong Watch Mission to Jakarta, Indonesia HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 Show More",,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sun-International-Concepts-Limited/1X0B7O00?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NCXX?fairCode=hkwatchfair&locale=en,
"Sunqueen Watch Industrial Co., Limited",Hong Kong,"Exporter, Manufacturer, Retailer, Wholesaler","24 Hour Dial Mechanical Watch, Chronograph Watch, Diver Watch, Promotional Watch, Brandname Watch, Designer Watch, Quartz Analogue Watch, Kids Watch, Skeleton Mechanical Watch, Pilot Watch, Digital Watch, Moon Phase Mechanical Watch, Ladies Watch, Sports Timer Watch, Mens Watch","石英手錶,機械手表,計時手錶,男裝手錶,女裝手錶,多功能手錶.","ODM, OEM, OBM",,www.sunqueenwatch.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Electronics Fair 2022 (Autumn Edition) HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sunqueen-Watch-Industrial-Co-Limited/1X09S0GK?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NM0E?fairCode=hkwatchfair&locale=en,
"Time Easy Industrial Co., Limited",Hong Kong,"Buying Office, Wholesaler, Distributor, Export Agent, Buying Cooperative","Ladies Watch, 24 Hour Dial Mechanical Watch, Mechanical Hands & Digital Watch, Chronograph Watch, Digital Watch, Kids Watch, Diver Watch, Moon Phase Mechanical Watch, Quartz Analogue Watch, Pilot Watch, Sports Timer Watch, Mens Watch","main for customize watch with OEM brand, such as quartz watch , autoamtic watch ,diver watch , sport watch , fashion watch , Lady watch , men watch , all stainless steel /alloy/ plasitc watch !","OEM, ODM","TIME EASY,MARC VEEN,AIBI",www.timeeasywatches.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Time-Easy-Industrial-Co-Limited/1X06E1P8?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NM35?fairCode=hkwatchfair&locale=en,
Time Module Limited,Hong Kong,Manufacturer,Watch Movement,"mechanical movements, quartz movements, gearboxes",Others,Time Module (TMI),www.timemodule.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Time-Module-Limited/1S00OQLIX?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MHZM?fairCode=hkwatchfair&locale=en,
Tsinlien Sea Gull Company Limited,Hong Kong,"Others, Importer, Exporter, Retailer, Manufacturer","Designer Watch, Ladies Watch, Brandname Watch, Jewelled-lever Automatic Watch, Diver Watch, Pilot Watch, Chronograph Watch, Moon Phase Mechanical Watch, Mens Watch, Promotional Watch","Fosun Watch Group, a leading Chinese watch group, marked the 70th anniversary of China's watchmaking heritage by presenting its brands, SEAGULL and SHANGHAI Watch, at the exhibition, featuring 70th-anniversary creations and historical storytelling.","ODM, OBM, OEM","上海表,海鸥表",,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 BASELWORLD 2013 - The World Watch and Jewellery Show, Basel, Switzerland HKTDC Hong Kong Watch & Clock Fair 2012 BASELWORLD 2012 - The World Watch and Jewellery Show, Basel, Switzerland HKTDC Hong Kong Watch & Clock Fair 2011 Show More",,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Tsinlien-Sea-Gull-Company-Limited/1X00DZ4Z?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NKBJ?fairCode=hkwatchfair&locale=en,
"Dongguan Watchmaker Technology Co., Ltd.",Chinese Mainland,"Exporter, Manufacturer",Aftersales Watch Services Equipment and Tool,Watchmaker's workbench; Dust blower & collector system; LED desk lamp; Ultrasonic watch movements cleaning machine;Professional watch winder; Automated vacuum watch waterproof tester; Watch back case opener; Rado watch crystable opener; Digital micro,OEM,,www.wuque.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Watchmaker-Technology-Co-Ltd-/1S00ON7UB?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005OWVJ?fairCode=hkwatchfair&locale=en,
"Guangzhou Watch Home Precision Machinery Co., Ltd",Chinese Mainland,Manufacturer,Mens Watch,watch,Others,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,"ISO 9001 Issued By Shenzhen Hua Kai Inspection & Certification Co.,Ltd., Type ISO_9001 Valid Date 15 Sep 2022 - 14 Sep 2025",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Watch-Home-Precision-Machinery-Co-Ltd/1S00OFUP3?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NQJP?fairCode=hkwatchfair&locale=en,
"Huizhou Ouchuangxing E-commerce Co., Ltd",Chinese Mainland,"Exporter, Distributor, Manufacturer","Mechanical Hands & Digital Watch, Skeleton Mechanical Watch, Digital Watch, Mens Watch, Brandname Watch, Quartz Analogue Watch",Mechanical watches,"OBM, ODM, OEM","OLEVS,JIN SHI DUN,Oupinke",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Huizhou-Ouchuangxing-E-commerce-Co-Ltd/1S00ORVQZ?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NPAH?fairCode=hkwatchfair&locale=en,
Montres Michel Herbelin SA,France,,"Ladies Watch, Diver Watch, Chronograph Watch, Skeleton Mechanical Watch, Moon Phase Mechanical Watch, Quartz Analogue Watch, Mens Watch, Ladies Watch, Diver Watch, Chronograph Watch, Skeleton Mechanical Watch, Moon Phase Mechanical Watch, Quartz Analogue Watch, Mens Watch",WATCHES,,Herbelin,herbelin.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Montres-Michel-Herbelin-SA/1X0F0GXR?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005RE64?fairCode=hkwatchfair&locale=en,
Pierre Lannier Sarl,France,Manufacturer,"Quartz Analogue Watch, Chronograph Watch, Solar Watch, Designer Watch, Ladies Watch, Mens Watch","Pierre Lannier has been a major designer and manufacturer in the global watch industry since 1977. Founded nearly 49 years ago, the brand has always put French watchmaking expertise and French chic at the heart of its ambitions.","OEM, ODM",PIERRE LANNIER,www.pierre-lannier.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2021 HKTDC Hong Kong Watch & Clock Fair 2019 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pierre-Lannier-Sarl/1X00I8VH?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005U9OR?fairCode=hkwatchfair&locale=en,
Riba Watch Suisse SARL,Switzerland,"Wholesaler, Manufacturer","Quartz Analogue Watch, Mens Watch, Ladies Watch, Moon Phase Mechanical Watch, Chronograph Watch, Sports Timer Watch, Designer Watch, Mechanical Hands & Digital Watch, Diver Watch, Skeleton Mechanical Watch, Quartz Analogue Watch, Mens Watch, Ladies Watch, Moon Phase Mechanical Watch, Chronograph Watch, Sports Timer Watch, Designer Watch, Mechanical Hands & Digital Watch, Diver Watch, Skeleton Mechanical Watch","Experience the timeless elegance of Swiss craftsmanship with RibaWatch Swiss SARL. Combining precision, innovation, and tradition, we create exceptional timepieces proudly made in Switzerland.","OEM, ODM","MUREX,Mercury,OPTIMA,RSW,Rama,Geovani",ribawatch.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Riba-Watch-Suisse-Sarl/1X00I927?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NCU6?fairCode=hkwatchfair&locale=en,
"Shenzhen Leqi Cronusart Technology Co., Ltd.",Chinese Mainland,"Exporter, Manufacturer","Ladies Watch, Smart Watch, Mens Watch",Watches and Accessories,"OEM, OBM, ODM",,cronusart.vip,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Gifts & Premium Fair 2025,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Leqi-Cronusart-Trading-Co-LTD/1S00OYWXD?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NVEZ?fairCode=hkwatchfair&locale=en,
Belton China Limited,Hong Kong,Manufacturer,"Ladies Watch, Skeleton Mechanical Watch, Chronograph Watch, Quartz Analogue Watch, Mens Watch","The Mission of BCL: since the beginning and today, is to offer superior quality watches and fashion jewelry creations that are infused with our passion, dedication, and know-how, thereby inspiring men and women to express their individuality.",OEM,,www.beltonchinalimited.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2021,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Belton-China-Limited/1X00I6D5?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MXJI?fairCode=hkwatchfair&locale=en,
Bergeon (HK) Limited,Hong Kong,"Manufacturer, Exporter","Metal Parts For Watch Module, Watch Battery","Screwdrivers; Tweezers; Pliers; Hammers; Tools for movements, escapements, mainsprings, cannon-pinions, balance wheels, bracelets, spring-bars, case backs, crystals, bezels, dials & hands; Cleaning consumables; Lubrication; Workshop equipment, etc.","OBM, ODM","BERGEON,SEITZ,JAXA,STAR,RODICO",www.bergeon.swiss,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Bergeon-HK-Limited/1X09QNBS?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MIVX?fairCode=hkwatchfair&locale=en,
Bomass International Ltd,Hong Kong,"Retailer, Wholesaler","Mens Watch, 24 Hour Dial Mechanical Watch, Chronograph Watch, Brandname Watch, Skeleton Mechanical Watch, Mens Watch, 24 Hour Dial Mechanical Watch, Chronograph Watch, Brandname Watch, Skeleton Mechanical Watch, Mens Watch, 24 Hour Dial Mechanical Watch, Chronograph Watch, Brandname Watch, Skeleton Mechanical Watch","Movements are the heart of a mechanical watch, requiring time and effort to perfect. Since 2008, we have been collaborating with Swiss engineers to craft the highest quality movement parts that set the benchmark for excellence in mechanical watches.",Others,Arbutus,www.arbutusofficial.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 Hong Kong Watch and Clock Mission to UAE (Dubai) HKTDC Home Delights Expo 2019 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Bomass-Int-l-Ltd/1X00I6G2?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MXN6?fairCode=hkwatchfair&locale=en,
Citizen Watches (H.K.) Limited,Hong Kong,Manufacturer,Quartz Analogue Watch,complete watch and watch movement,OBM,MIYOTA,miyotamovement.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Hong Kong Watch & Clock Fair 2021 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Citizen-Watches-H-K-Limited-/1X095QN7?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005N0EU?fairCode=hkwatchfair&locale=en,
